1061k  1.70.35.119:8082
1055k  223.12.12.89:8083
1049k  223.10.11.180:8084
1042k  223.10.11.180:8083
1041k  223.12.12.89:8082
1041k  223.10.11.180:8082
1041k  1.70.35.119:8085
1041k  1.70.35.119:8084
806k  1.70.33.48:8085
774k  1.70.33.48:8082
661k  1.70.33.48:8084
457k  223.10.61.83:8083
357k  223.10.29.35:8083
354k  223.10.29.35:8082
257k  110.178.52.75:8082
228k  110.178.52.75:8083
177k  1.70.32.19:8084
170k  110.178.52.75:8085
157k  1.70.32.19:8083
149k  1.70.32.19:8082
142k  1.70.32.19:8085
